trade_date,bar_ts,nav,pnl,pnl_future,pnl_call,pnl_put,pnl_option,cash,cash_future,cash_call,cash_put,cash_option,future_ts_code,future_pnl,future_notional,call_ts_code,call_pnl,call_notional,put_ts_code,put_pnl,put_notional,option_pnl,option_notional,fee,fee_future,fee_call,fee_put,fee_option,slippage,name
2025-09-25,2025-09-25T15:00:00.000000,984887.1800214013,-336.4292752089914,16.070724791008587,-127.5,-225.0,-352.5,966552.3024309722,0.0,0.0,0.0,0.0,AG2511.SHF,16.070724791008587,9822.04885756348,AG2511C10000.SHF,-127.5,8310.0,AG2511P10000.SHF,-225.0,2482.5,-352.5,10792.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-26,2025-09-26T15:00:00.000000,987395.8261274465,2508.646106045173,213.64610604517296,2790.0,-495.0,2295.0,969060.9485370175,0.0,0.0,0.0,0.0,AG2511.SHF,213.64610604517296,10035.694963608654,AG2511C10000.SHF,2790.0,11100.0,AG2511P10000.SHF,-495.0,1987.5,2295.0,13087.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-29,2025-09-29T15:00:00.000000,991498.8805206943,4103.054393247804,293.0543932478036,4215.0,-405.0,3810.0,973164.0029302653,0.0,0.0,0.0,0.0,AG2511.SHF,293.0543932478036,10328.749356856457,AG2511C10000.SHF,4215.0,15315.0,AG2511P10000.SHF,-405.0,1582.5,3810.0,16897.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-30,2025-09-30T15:00:00.000000,990430.8564283792,-1068.0240923151314,-25.52409231513128,-975.0,-67.5,-1042.5,972095.9788379502,0.0,0.0,0.0,0.0,AG2511.SHF,-25.52409231513128,10303.225264541328,AG2511C10000.SHF,-975.0,14340.0,AG2511P10000.SHF,-67.5,1515.0,-1042.5,15855.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-10-09,2025-10-09T15:00:00.000000,992960.3626369968,2529.5062086175412,242.00620861754103,3412.5,-1125.0,2287.5,974625.4850465677,0.0,0.0,0.0,0.0,AG2511.SHF,242.00620861754103,10545.231473158869,AG2511C10000.SHF,3412.5,17752.5,AG2511P10000.SHF,-1125.0,390.0,2287.5,18142.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-10-10,2025-10-10T15:00:00.000000,990719.9463190224,-2240.416317974341,-87.91631797434107,-2242.5,90.0,-2152.5,972385.0687285934,0.0,0.0,0.0,0.0,AG2511.SHF,-87.91631797434107,10457.315155184526,AG2511C10000.SHF,-2242.5,15510.0,AG2511P10000.SHF,90.0,480.0,-2152.5,15990.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-10-13,2025-10-13T15:00:00.000000,996937.2385311128,6217.292212090346,427.2922120903459,5917.5,-127.5,5790.0,978602.3609406837,0.0,0.0,0.0,0.0,AG2511.SHF,427.2922120903459,10884.607367274873,AG2511C10000.SHF,5917.5,21427.5,AG2511P10000.SHF,-127.5,352.5,5790.0,21780.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-10-14,2025-10-14T15:00:00.000000,997256.9652148748,319.7266837620614,4.726683762061349,232.5,82.5,315.0,978922.0876244458,0.0,0.0,0.0,0.0,AG2511.SHF,4.726683762061349,10889.334051036934,AG2511C10000.SHF,232.5,21660.0,AG2511P10000.SHF,82.5,435.0,315.0,22095.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-10-15,2025-10-15T15:00:00.000000,1002009.7413654218,4752.776150546925,410.276150546925,4477.5,-135.0,4342.5,983674.8637749928,0.0,0.0,0.0,0.0,AG2511.SHF,410.276150546925,11299.610201583859,AG2511C10000.SHF,4477.5,26137.5,AG2511P10000.SHF,-135.0,300.0,4342.5,26437.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-10-16,2025-10-16T15:00:00.000000,1005162.9535397948,3153.212174373026,48.21217437302575,3142.5,-37.5,3105.0,986828.0759493657,0.0,0.0,0.0,0.0,AG2511.SHF,48.21217437302575,11347.822375956886,AG2511C10000.SHF,3142.5,29280.0,AG2511P10000.SHF,-37.5,262.5,3105.0,29542.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-10-17,2025-10-17T15:00:00.000000,1010897.5449825923,5734.591442797585,214.59144279758522,5557.5,-37.5,5520.0,992562.6673921633,0.0,0.0,0.0,0.0,AG2511.SHF,214.59144279758522,11562.41381875447,AG2511C10000.SHF,5557.5,34837.5,AG2511P10000.SHF,-37.5,225.0,5520.0,35062.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-10-20,2025-10-20T15:00:00.000000,1000973.9312696338,-9923.613712958548,-473.6137129585471,-9337.5,-112.5,-9450.0,982639.0536792048,0.0,0.0,0.0,0.0,AG2511.SHF,-473.6137129585471,11088.800105795923,AG2511C10000.SHF,-9337.5,25500.0,AG2511P10000.SHF,-112.5,112.5,-9450.0,25612.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-10-21,2025-10-21T15:00:00.000000,1000985.7141687978,11.782899164034347,64.28289916403435,0.0,-52.5,-52.5,982650.8365783688,0.0,0.0,0.0,0.0,AG2511.SHF,64.28289916403435,11153.083004959957,AG2511C10000.SHF,0.0,25500.0,AG2511P10000.SHF,-52.5,60.0,-52.5,25560.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-10-22,2025-10-22T15:00:00.000000,1015340.2449913241,0.0,0.0,0.0,0.0,0.0,1015340.2449913241,10775.761293602125,21862.5,67.5,21930.0,AG2511.SHF,0.0,0.0,AG2511C10000.SHF,0.0,0.0,AG2511P10000.SHF,0.0,0.0,0.0,0.0,16.352880646801065,5.3878806468010625,10.93125,0.03375,10.965,1.0776838977494372,close
2025-10-22,2025-10-22T15:00:00.000000,1015331.1115143086,0.0,0.0,0.0,0.0,0.0,997064.1574831657,-4121.954031142902,-7080.0,-7065.0,-14145.0,AG2512.SHF,0.0,4121.954031142902,AG2512C11400.SHF,0.0,7080.0,AG2512P11400.SHF,0.0,7065.0,0.0,14145.0,9.13347701557145,2.060977015571451,3.54,3.5325,7.0725,0.41223662677705,open
2025-10-23,2025-10-23T15:00:00.000000,1014228.3380072173,-1102.7735070913268,-22.773507091326707,-60.0,-1020.0,-1080.0,995961.3839760744,0.0,0.0,0.0,0.0,AG2512.SHF,-22.773507091326707,-4145.139774861006,AG2512C11400.SHF,-60.0,7020.0,AG2512P11400.SHF,-1020.0,6045.0,-1080.0,13065.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
