bar_ts,trade_date,nav,capital_used,capital_usage,return_rate
2025-03-25T10:45:00.000000,2025-03-25,982838.816324025,19480.689794337093,0.019820838850461767,-0.017155267836317822
2025-03-25T11:00:00.000000,2025-03-25,982880.7604433582,19498.745675003956,0.019838363369945766,-0.017113323464517327
2025-03-25T11:15:00.000000,2025-03-25,982972.7848102157,19631.721308146472,0.019971785192340604,-0.017021298543752783
2025-03-25T11:30:00.000000,2025-03-25,982900.1659019301,19569.3402164321,0.01990979439755701,-0.017093917889141497
2025-03-25T13:45:00.000000,2025-03-25,982706.5154798351,19402.99063852711,0.019744440820210735,-0.01728756947684451
2025-03-25T14:00:00.000000,2025-03-25,982695.6028743114,19398.903244050864,0.019740500707757843,-0.01729848214805263
2025-03-25T14:15:00.000000,2025-03-25,982679.9280853589,19369.57803300336,0.01971097351173418,-0.01731415703135375
2025-03-25T14:30:00.000000,2025-03-25,982679.9280853589,19369.57803300336,0.01971097351173418,-0.01731415703135375
2025-03-25T14:45:00.000000,2025-03-25,982705.8406908826,19388.665427479606,0.019729877064583817,-0.017288244269858533
2025-03-25T15:00:00.000000,2025-03-25,982694.571360502,19414.934757860246,0.01975683526060496,-0.01729951366807081
2025-03-25T21:00:00.000000,2025-03-25,982592.1931947895,19517.31292357282,0.019863085681674757,-0.017401892450011447
2025-03-25T21:15:00.000000,2025-03-25,982820.567139552,19813.938978810344,0.020160281175716315,-0.017173517130635307
2025-03-25T21:30:00.000000,2025-03-25,982718.9797450757,19705.526373286593,0.020052046189642483,-0.017275105136579816
2025-03-25T21:45:00.000000,2025-03-25,982854.9339373625,19974.572180999763,0.020323011556731673,-0.01713915012596634
2025-03-25T22:00:00.000000,2025-03-25,982879.1402401244,19995.36587823789,0.020343666947039776,-0.017114943677503436
2025-03-25T22:15:00.000000,2025-03-25,982742.7906622194,19831.71545614288,0.02017996534248734,-0.01725129407611492
2025-03-25T22:30:00.000000,2025-03-25,982695.409570505,19774.096547857247,0.020122304790758792,-0.01729867545302255
2025-03-25T22:45:00.000000,2025-03-25,982716.5213318388,19842.98478652352,0.02019197230919764,-0.017277563564614185
2025-03-25T23:00:00.000000,2025-03-25,982651.75914841,19757.746969952263,0.020106560422865172,-0.017342326137855246
2025-03-25T23:15:00.000000,2025-03-25,982637.115873267,19712.390245095376,0.020060701887468425,-0.017356969501138297
2025-03-25T23:30:00.000000,2025-03-25,982641.2032677432,19723.302850619126,0.020071723824555583,-0.01735288208205943
2025-03-25T23:45:00.000000,2025-03-25,982608.8221760289,19680.683942333497,0.020029012052578347,-0.01738526336867996
2025-03-26T00:00:00.000000,2025-03-26,982624.4969649813,19710.009153381005,0.020058536311947275,-0.01736958848537884
2025-03-26T00:15:00.000000,2025-03-26,982631.9969649813,19717.509153381005,0.02006601577628424,-0.017362088440235235
2025-03-26T00:30:00.000000,2025-03-26,982609.4969649813,19695.009153381005,0.020043577040740636,-0.017384588575665827
2025-03-26T00:45:00.000000,2025-03-26,982635.409570505,19714.096547857247,0.020062473177588806,-0.01735867581417061
