trade_date,bar_ts,future_ts_code,future_close,future_per_unit,call_ts_code,call_close,put_ts_code,put_close,option_per_unit,rate,ttm,iv_call_used,iv_put_used,delta_call,delta_put,combo_delta,target_future_position,gamma_call,gamma_put,vega_call,vega_put,theta_call,theta_put,nav,margin_by_future,cash,pnl,pnl_future,pnl_call,pnl_put,pnl_option,cash_future,cash_call,cash_put,cash_option,nav_future,nav_call,nav_put,nav_option,capital_used,capital_future,capital_call,capital_put,capital_option,fee,fee_future,fee_call,fee_put,fee_option,slippage,name
2025-12-23,2025-12-23T15:00:00.000000,AG2602.SHF,16441.0,15.0,AG2602C16200.SHF,1072.0,AG2602P16200.SHF,813.5,15.0,0.00015689438356164382,0.09315068493150686,0.46336949069052935,0.4589700884371995,0.5281393970973877,-0.4721265466233237,0.05601285047406396,-0.05601285047406396,0.005475628690973557,0.00547588740200129,19.614265212395175,19.615191942180314,-19.575497898340927,-19.38049911568021,1000942.9751026154,2071.8341638123975,970588.6409388041,2579.075653609866,1896.5756536098663,2137.5,-1455.0,682.5,19715.651882593764,0.0,0.0,0.0,1822.1836476071849,2137.5,-1455.0,682.5,,2071.8341638123975,16080.0,12202.5,28282.5,74.39200600268138,74.39200600268138,0.0,0.0,0.0,14.879889189467391,mtm
2025-12-24,2025-12-24T15:00:00.000000,AG2602.SHF,17609.0,15.0,AG2602C16200.SHF,2130.5,AG2602P16200.SHF,691.5,15.0,0.00015798917808219177,0.09041095890410959,0.47527864579111334,0.4665409345179796,0.5727829768536639,-0.42773327802545696,0.1450496988282069,-0.1450496988282069,-8.341536137204298e-16,1.6683072274408597e-15,19.50579206557291,19.507623579563493,-20.57991456093987,-20.193377183033363,1013997.3722642272,5746.3306394652645,965921.041624763,13066.1548596944,-981.3451403056006,15877.5,-1830.0,14047.5,-4667.599314041081,0.0,0.0,0.0,-993.1028383882143,15877.5,-1830.0,14047.5,,5746.3306394652645,31957.5,10372.5,42330.0,11.75769808261377,11.75769808261377,0.0,0.0,0.0,2.3517747940036626,mtm
2025-12-25,2025-12-25T15:00:00.000000,AG2602.SHF,17397.0,15.0,AG2602C16200.SHF,1737.0,AG2602P16200.SHF,545.0,15.0,0.00015844164383561644,0.08767123287671233,0.6467286399006842,0.6311612448096275,0.66683974547847,-0.2570753761209584,0.40976436935751165,-0.40976436935751165,-2.048300112513533e-14,2.9261430178764757e-15,18.8423894870965,17.051570870058352,-26.6691784768027,-24.637361372126065,1006324.0944520078,16037.905199938334,956056.1892520705,-7638.741957726302,461.2580422736979,-5902.5,-2197.5,-8100.0,-9864.852372692516,0.0,0.0,0.0,426.722187780553,-5902.5,-2197.5,-8100.0,,16037.905199938334,26055.0,8175.0,34230.0,34.53585449314497,34.53585449314497,0.0,0.0,0.0,6.907861684790585,mtm
2025-12-26,2025-12-26T15:00:00.000000,AG2602.SHF,18319.0,15.0,AG2602C16200.SHF,2650.0,AG2602P16200.SHF,494.0,15.0,0.00015841534246575342,0.08493150684931507,0.520517447590828,0.5235979298874733,0.7372068290446895,-0.2626465416712753,0.47456028737341416,-0.47456028737341416,-3.0050482288369884e-15,2.2537861716277413e-15,16.69633590900418,16.6957956811914,-20.553736741551802,-20.664486212324903,1013578.1516408747,19558.35125415705,946859.8003867187,7262.958771785614,-5667.041228214386,13695.0,-765.0,12930.0,-9196.388865351784,0.0,0.0,0.0,-5675.942811133069,13695.0,-765.0,12930.0,,19558.35125415705,39750.0,7410.0,47160.0,8.901582918683285,8.901582918683285,0.0,0.0,0.0,1.7804946332009899,mtm
2025-12-29,2025-12-29T15:00:00.000000,AG2602.SHF,18205.0,15.0,AG2602C16200.SHF,3945.5,AG2602P16200.SHF,646.0,15.0,0.00015937157360406093,0.07671232876712329,0.6649224583804606,0.6434178699925543,0.7424821778072431,-0.25848200761739687,0.48400017018984626,-0.48400017018984626,-4.114068712237042e-15,-1.1999367077358039e-15,16.212073118028492,16.21666721669055,-28.262137294020704,-26.678778849972844,1036100.860963173,19823.269445991722,947405.0915171823,22523.99809140854,811.4980914085381,19432.5,2280.0,21712.5,545.2911304636165,0.0,0.0,0.0,810.2093222982895,19432.5,2280.0,21712.5,,19823.269445991722,59182.5,9690.0,68872.5,1.288769110248593,1.288769110248593,0.0,0.0,0.0,0.2577796000094352,mtm
2025-12-30,2025-12-30T15:00:00.000000,AG2602.SHF,18140.0,15.0,AG2602C16200.SHF,2396.0,AG2602P16200.SHF,505.0,15.0,0.00016441065989847715,0.07397260273972603,1.4994215860217808,0.7527558910846708,0.7052805764896327,-0.2542020634558833,0.4510785130337494,-0.4510785130337494,-8.421247238639926e-15,7.017706032199939e-16,17.2056070051209,15.811820906109684,-70.19595700034279,-32.36628208716127,1011210.7816897528,18412.610586423427,949283.1711033304,-24885.5998340649,471.9001659351001,-23242.5,-2115.0,-25357.5,1878.0795861481627,0.0,0.0,0.0,467.42072657986756,-23242.5,-2115.0,-25357.5,,18412.610586423427,35940.0,7575.0,43515.0,4.479439355232585,4.479439355232585,0.0,0.0,0.0,0.8957982912166479,mtm
2025-12-31,2025-12-31T15:00:00.000000,AG2602.SHF,17103.0,15.0,AG2602C16200.SHF,1526.5,AG2602P16200.SHF,688.0,15.0,0.00016856598984771575,0.07123287671232877,0.6364493048936128,0.6674020089209077,0.8071696810309517,-0.19169920738735097,0.6154704736436007,-0.6154704736436007,-3.982652834275218e-15,1.991326417137609e-15,13.560200702432818,13.55540138953876,-24.394362465020095,-25.560496789985905,1007908.7231009223,23682.01246104472,951009.2106398785,-3280.9737297600277,7016.526270239972,-13042.5,2745.0,-10297.5,1726.039536548129,0.0,0.0,0.0,6995.441411169422,-13042.5,2745.0,-10297.5,,23682.01246104472,22897.5,10320.0,33217.5,21.084859070550426,21.084859070550426,0.0,0.0,0.0,4.217393553462531,mtm
2026-01-05,2026-01-05T15:00:00.000000,AG2602.SHF,18260.0,15.0,AG2602C16200.SHF,2304.5,AG2602P16200.SHF,310.5,15.0,0.00015068883248730967,0.057534246575342465,0.5695510132238268,0.6081674300879238,0.8587552492280194,-0.1961435540707785,0.6626116951572409,-0.6626116951572409,-5.4020429390555875e-15,-6.752553673819484e-16,9.941363146896187,12.146533585827278,-19.884511718175418,-25.93089124027054,1003228.2776861504,27220.67915538569,936782.5985307656,-4673.99007008469,-10681.49007008469,11670.0,-5662.5,6007.5,-14226.612109112924,0.0,0.0,0.0,-10687.945414771955,11670.0,-5662.5,6007.5,,27220.67915538569,34567.5,4657.5,39225.0,6.455344687264396,6.455344687264396,0.0,0.0,0.0,1.2911980572592636,mtm
2026-01-06,2026-01-06T15:00:00.000000,AG2602.SHF,19457.0,15.0,AG2602C16200.SHF,3450.0,AG2602P16200.SHF,194.5,15.0,0.00015030101522842639,0.0547945205479452,0.5691687449812888,0.6237496518343687,0.8020985208403004,-0.19612609906041206,0.6059724217798883,-0.6059724217798883,-9.816061118442262e-15,2.1034416682376274e-15,11.74793175689838,11.742826631532514,-24.67673686385615,-27.0210846184022,1006765.3186455136,26531.065015002772,925566.7536305118,3545.3070134517384,-11897.192986548262,17182.5,-1740.0,15442.5,-11215.844900253875,0.0,0.0,0.0,-11905.459040636792,17182.5,-1740.0,15442.5,,26531.065015002772,51750.0,2917.5,54667.5,8.266054088530206,8.266054088530206,0.0,0.0,0.0,1.6530455131549084,mtm
2026-01-07,2026-01-07T15:00:00.000000,AG2602.SHF,19287.0,15.0,AG2602C16200.SHF,3050.0,AG2602P16200.SHF,203.0,15.0,0.0001486807106598985,0.052054794520547946,0.703454622775316,0.7050913965702057,0.9000164720378783,-0.10905411525901001,0.7909623567788683,-0.7909623567788683,0.0005195117204339595,0.0014579275928821623,7.55542896346219,7.555331203422034,-20.670383757975287,-20.70863068051625,1002411.2917404056,34320.972253717155,919295.3194866894,-4327.270324461285,1545.2296755387151,-6000.0,127.5,-5872.5,-6271.43414382245,0.0,0.0,0.0,1518.4730948919325,-6000.0,127.5,-5872.5,,34320.972253717155,45750.0,3045.0,48795.0,26.756580646782705,26.756580646782705,0.0,0.0,0.0,5.351851314489073,mtm
2026-01-08,2026-01-08T15:00:00.000000,AG2602.SHF,18458.0,15.0,AG2602C16200.SHF,2476.0,AG2602P16200.SHF,216.0,15.0,0.00015007614213197968,0.049315068493150684,0.01,0.7079458390921354,1.0000000000000118,-0.1389498203336758,0.8610501796663359,-0.8610501796663359,-8.671160168098503e-15,3.8710536464725457e-16,6.82121026329724e-10,9.397649450255205,-0.009647683330058499,-27.331116585747964,1003822.2070094502,35756.2685021841,927685.938507267,1420.6169065452268,9835.616906545227,-8610.0,195.0,-8415.0,8390.61902057763,0.0,0.0,0.0,9825.915269044577,-8610.0,195.0,-8415.0,,35756.2685021841,37140.0,3240.0,40380.0,9.701637500650438,9.701637500650438,0.0,0.0,0.0,1.9405215522844166,mtm
2026-01-09,2026-01-09T15:00:00.000000,AG2602.SHF,18757.0,15.0,AG2602C16200.SHF,2650.0,AG2602P16200.SHF,181.0,15.0,0.00014997918781725888,0.04657534246575343,0.6190609296411275,0.6170241326838728,0.8584144236468391,-0.14163494593586626,0.7167794777109728,-0.7167794777109728,-8.136729320410488e-15,2.1189399271902314e-15,8.936320665977783,8.936438923341182,-24.101611241033424,-24.013016648201983,1002025.0992824081,30253.448535054886,929306.6507473543,-1776.8100558035162,-3861.810055803516,2610.0,-525.0,2085.0,1620.7122400872076,0.0,0.0,0.0,-3882.107727042009,2610.0,-525.0,2085.0,,30253.448535054886,39750.0,2715.0,42465.0,20.29767123849302,20.29767123849302,0.0,0.0,0.0,4.059128334866213,mtm
2026-01-12,2026-01-12T15:00:00.000000,AG2602.SHF,20957.0,15.0,AG2602C16200.SHF,4770.0,AG2602P16200.SHF,83.5,15.0,0.00014890000000000001,0.038356164383561646,0.5278012792766094,0.6428947188705207,0.9340835589363387,-0.09790510025131573,0.8361784586850229,-0.8361784586850229,6.495201177248775e-15,-2.4357004414682906e-16,4.716499382295024,6.377196310402374,-13.238450629039107,-21.787940159901694,1008690.1115612973,39424.58905379886,896463.0225074994,6683.777235537898,-23653.7227644621,31800.0,-1462.5,30337.5,-32843.62823985479,0.0,0.0,0.0,-23672.487721110818,31800.0,-1462.5,30337.5,,39424.58905379886,71550.0,1252.5,72802.5,18.764956648715557,18.764956648715557,0.0,0.0,0.0,3.7533666664062286,mtm
2026-01-13,2026-01-13T15:00:00.000000,AG2602.SHF,21030.0,15.0,AG2602C16200.SHF,5156.5,AG2602P16200.SHF,76.5,15.0,0.00015324285714285712,0.03561643835616438,0.6159779787063598,0.8585286279022692,0.9857472209287598,-0.05643347825870982,0.92931374267005,-0.92931374267005,-6.266759413528566e-15,0.0005563877708769076,1.4208040156452626,4.790489940690532,-3.9417652736783566,-16.804558818212314,1013452.3078553469,43968.40573848822,890988.9021168597,4776.8845877399,-915.6154122601001,5797.5,-105.0,5692.5,-5474.12039063973,0.0,0.0,0.0,-930.3037059503719,5797.5,-105.0,5692.5,,43968.40573848822,77347.5,1147.5,78495.0,14.688293690271733,14.688293690271733,0.0,0.0,0.0,2.937952533306498,mtm
2026-01-14,2026-01-14T15:00:00.000000,AG2602.SHF,22800.0,15.0,AG2602C16200.SHF,6730.0,AG2602P16200.SHF,55.0,15.0,0.0001562142857142857,0.03287671232876712,1.2925442107021805,0.8857705610990524,0.9111514846780949,-0.03915350075259643,0.8719979839254985,-0.8719979839254985,-6.0027053698826e-15,4.689613570220782e-16,6.271634236566058,3.2666148593832576,-50.52425492605562,-16.271519042951766,1012049.2260126123,44737.96992503561,865536.2560875777,-1393.2798678898253,-24673.279867889825,23602.5,-322.5,23280.0,-25452.646029282012,0.0,0.0,0.0,-24683.081842734617,23602.5,-322.5,23280.0,,44737.96992503561,100950.0,825.0,101775.0,9.801974844792824,9.801974844792824,0.0,0.0,0.0,1.9601989490626577,mtm
