trade_date,bar_ts,future_ts_code,future_close,future_per_unit,call_ts_code,call_close,put_ts_code,put_close,option_per_unit,rate,ttm,iv_call_used,iv_put_used,delta_call,delta_put,combo_delta,target_future_position
2025-06-16,2025-06-16T23:45:00.000000,AG2507.SHF,8832.0,15.0,AG2507C8300.SHF,531.0,AG2507P8300.SHF,10.5,15.0,0.0001514714285714286,0.021917808219178082,0.22647628545761112,0.26917242705821987,0.9727438537904398,-0.06628658446599724,0.9064572693244426,-0.9064572693244426
2025-06-17,2025-06-17T23:45:00.000000,AG2507.SHF,8976.0,15.0,AG2507C8300.SHF,678.0,AG2507P8300.SHF,6.0,15.0,0.0001508,0.019178082191780823,0.01,0.2804085409641266,0.9999999999999747,-0.024352798669294472,0.9756472013306802,-0.9756472013306802
2025-06-18,2025-06-18T23:45:00.000000,AG2507.SHF,8932.0,15.0,AG2507C8300.SHF,634.0,AG2507P8300.SHF,6.0,15.0,0.00014818333333333332,0.01643835616438356,0.2676763582229613,0.32168073058128355,0.9841977149008103,-0.03136926417927467,0.9528284507215357,-0.9528284507215357
2025-06-19,2025-06-19T23:45:00.000000,AG2508.SHF,8811.0,15.0,AG2508C8800.SHF,274.0,AG2508P8800.SHF,266.5,15.0,0.00016218260273972602,0.09863013698630137,0.2,0.2,0.5378256488353469,-0.4621743511646724,0.07565129767067447,-0.07565129767067447
2025-06-20,2025-06-20T23:45:00.000000,AG2508.SHF,8714.0,15.0,AG2508C8800.SHF,212.0,AG2508P8800.SHF,297.5,15.0,0.0001620678082191781,0.0958904109589041,0.2436885793507099,0.24700147688388824,0.47065166574637446,-0.5291447204418631,-0.058493054695488655,0.058493054695488655
2025-06-21,2025-06-21T02:30:00.000000,AG2508.SHF,8737.0,15.0,AG2508C8800.SHF,226.5,AG2508P8800.SHF,289.0,15.0,0.02,0.09315068493150686,0.23290498979389662,0.232567935436964,0.4801633113489229,-0.5198420651230865,-0.03967875377416358,0.03967875377416358
2025-06-23,2025-06-23T23:45:00.000000,AG2508.SHF,8796.0,15.0,AG2508C8800.SHF,239.5,AG2508P8800.SHF,247.5,15.0,0.00016202342465753428,0.08767123287671233,0.2328897776454687,0.247801211848855,0.5238882632286299,-0.4752400661825174,0.04864819704611251,-0.04864819704611251
2025-06-24,2025-06-24T23:45:00.000000,AG2508.SHF,8649.0,15.0,AG2508C8800.SHF,151.0,AG2508P8800.SHF,304.0,15.0,0.00016200863013698634,0.08493150684931507,0.2329212694615126,0.23690532520413396,0.3817649898132895,-0.6180142805274342,-0.23624929071414474,0.23624929071414474
2025-06-25,2025-06-25T23:45:00.000000,AG2508.SHF,8714.0,15.0,AG2508C8800.SHF,170.5,AG2508P8800.SHF,260.0,15.0,0.000162453807106599,0.0821917808219178,0.21487611785531047,0.21708239831030365,0.4678913634841706,-0.5319833621293205,-0.06409199864514992,0.06409199864514992
2025-06-26,2025-06-26T23:45:00.000000,AG2508.SHF,8827.0,15.0,AG2508C8800.SHF,244.0,AG2508P8800.SHF,217.5,15.0,0.00016318375634517766,0.07945205479452055,0.20998708754777906,0.21361184895038604,0.5562993141497061,-0.44349976510683314,0.11279954904287298,-0.11279954904287298
2025-06-27,2025-06-27T23:45:00.000000,AG2508.SHF,8736.0,15.0,AG2508C8800.SHF,180.0,AG2508P8800.SHF,249.0,15.0,0.00016398730964467008,0.07671232876712329,0.2320697449892759,0.23269164904952047,0.4684161640273764,-0.5315496872250082,-0.06313352319763177,0.06313352319763177
2025-06-28,2025-06-28T02:30:00.000000,AG2508.SHF,8718.0,15.0,AG2508C8800.SHF,178.5,AG2508P8800.SHF,255.0,15.0,0.02,0.07397260273972603,0.2165446206927299,0.22183871522545812,0.47729295185569154,-0.5226589198994137,-0.04536596804372217,0.04536596804372217
2025-06-30,2025-06-30T23:45:00.000000,AG2508.SHF,8724.0,15.0,AG2508C8800.SHF,170.5,AG2508P8800.SHF,247.0,15.0,0.000166951269035533,0.0684931506849315,0.22194766148924824,0.22985691115260123,0.4671821010342941,-0.5324078081382542,-0.06522570710396008,0.06522570710396008
